Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Only You,Alesso,Only You,2016,145174,4,0.483,0.917,3,-2.528,1,0.0438,0.00235,0.000347,0.119,0.323,129.035,55
Sweet Escape,Alesso,Forever,2015,232533,4,0.572,0.839,2,-3.865,1,0.0397,0.0721,0.00000174,0.197,0.516,126.029,50
Tear The Roof Up - Radio Edit,Alesso,Forever,2013,195786,4,0.684,0.954,7,-3.406,1,0.0553,0.0233,0.305,0.0608,0.416,126.023,32
Church,Alison Wonderland,Awake,2018,183912,4,0.551,0.681,10,-4.873,0,0.0401,0.0251,0,0.481,0.227,94.052,44
Cold,Alison Wonderland,Run,2018,212793,4,0.478,0.785,6,-5.437,0,0.159,0.0157,0.0657,0.0695,0.532,140.977,25
Cry,Alison Wonderland,Awake,2018,199942,4,0.653,0.656,8,-6.27,1,0.0441,0.0271,0,0.0897,0.511,161.964,38
Games,Alison Wonderland,Run,2018,215919,4,0.263,0.926,1,-4.334,1,0.0614,0.00194,0.147,0.154,0.532,164.848,29
Happy Place,Alison Wonderland,Awake,2018,200503,4,0.506,0.849,11,-6.987,0,0.191,0.00146,0.0543,0.418,0.287,150.072,36
Here 4 U - Alison Wonderland x BLESSUS,Alison Wonderland,Awake,2020,165375,4,0.549,0.702,1,-4.809,1,0.309,0.0549,0.467,0.34,0.447,160.048,33
I Want U,Alison Wonderland,Run,2018,210017,4,0.606,0.829,1,-3.455,0,0.036,0.00172,0.0000543,0.276,0.384,140.033,52
No,Alison Wonderland,Awake,2018,240557,4,0.581,0.865,11,-5.888,0,0.0895,0.00816,0.00024,0.386,0.293,174.034,31
Run,Alison Wonderland,Run,2018,218783,4,0.507,0.779,0,-5.763,1,0.0333,0.00389,0.02,0.398,0.109,145.02,44
U Don’t Know,Alison Wonderland,Run,2019,243625,4,0.537,0.707,2,-5.718,0,0.033,0.000635,0.00000336,0.131,0.187,138.055,40
Ageispolis,Aphex Twin,Selected Ambient Works 85-92,1999,323186,4,0.645,0.393,6,-17.543,0,0.043,0.00903,0.89,0.364,0.441,101.757,54
Alberto Balsalm,Aphex Twin,...I Care Because You Do,1995,310746,4,0.791,0.599,3,-13.648,1,0.145,0.315,0.928,0.111,0.57,93.988,55
Avril 14th,Aphex Twin,Drukqs,2001,125520,4,0.558,0.0259,8,-30.016,1,0.0458,0.996,0.871,0.0969,0.37,157.811,64
Flim,Aphex Twin,Come To Daddy,1997,177093,4,0.71,0.734,0,-14.932,0,0.052,0.513,0.836,0.0701,0.4,147.98,57
Girl/Boy Song,Aphex Twin,Richard D. James Album,1995,292826,4,0.53,0.64,0,-9.149,1,0.102,0.426,0.916,0.0878,0.482,168.937,39
On,Aphex Twin,On,2014,432893,4,0.596,0.95,6,-12.759,1,0.0462,0.0339,0.858,0.138,0.434,134.984,38
Polynomial-C,Aphex Twin,Classics,1992,286506,4,0.224,0.803,1,-10.739,1,0.0553,0.63,0.935,0.0926,0.551,72.287,43
Vordhosbn,Aphex Twin,Drukqs,2010,291386,4,0.662,0.96,11,-6.619,0,0.136,0.0479,0.865,0.161,0.605,170.071,44
Windowlicker,Aphex Twin,Windowlicker,1999,365640,4,0.696,0.775,10,-5.097,0,0.142,0.132,0.00879,0.37,0.474,123.023,52
Xtal,Aphex Twin,Selected Ambient Works 85-92,1992,293751,4,0.51,0.505,9,-13.053,0,0.0344,0.342,0.96,0.117,0.318,114.532,61
Beautiful Life,Armin van Buuren,Intense,2018,368640,4,0.64,0.745,8,-6.977,1,0.0394,0.0496,0.0128,0.0754,0.466,128.001,39
Blah Blah Blah,Armin van Buuren,Blah Blah Blah,2009,183518,4,0.612,0.963,5,-3.912,0,0.0531,0.00897,0.00378,0.294,0.179,138.009,64
Communication,Armin van Buuren,Communication,1999,199667,4,0.386,0.967,8,-6.649,1,0.0379,5.45E-05,0.908,0.204,0.509,135.959,45
I Need You,Armin van Buuren,I Need You (feat. Olaf Blackwood),2015,206750,4,0.6,0.863,8,-5.754,0,0.031,0.00168,0.00406,0.0939,0.223,106.997,43
Not Giving Up On Love,Armin van Buuren,Mirage,2010,173760,3,0.593,0.896,4,-5.035,0,0.051,0.0569,0.00000484,0.167,0.463,131.063,47
Ping Pong - Hardwell Remix,Armin van Buuren,Ping Pong (Hardwell Remix),2012,180923,4,0.575,0.985,6,-3.493,1,0.0747,0.00379,0.155,0.0471,0.0762,129.956,47
Shivers,Armin van Buuren,Armin Anthems Top 100 (Ultimate Singles Collected),2022,189816,4,0.472,0.88,1,-10.189,1,0.0323,0.00152,0.0712,0.507,0.362,135.007,41
This Is What It Feels Like - Armin van Buuren 2023 Remix,Armin van Buuren,This Is What It Feels Like (Armin van Buuren 2023 Remix),2023,219172,4,0.541,0.929,8,-4.831,1,0.0468,0.00468,0.0364,0.193,0.11,129.902,54
Turn The World Into A Dancefloor (ASOT 1000 Anthem),Armin van Buuren,A State Of Trance FOREVER,2022,214001,4,0.55,0.945,10,-6.369,0,0.048,0.00945,0.891,0.427,0.0645,135.009,33
Hindsight - Original Mix,Audien,Hindsight,2014,285000,4,0.638,0.963,1,-2.428,1,0.0546,0.00833,0.00123,0.461,0.0635,128.007,28
Living in Color,Audien,Living in Color,2016,172500,3,0.506,0.63,11,-4.325,1,0.034,0.0598,0,0.225,0.339,127.914,51
Something Better,Audien,Daydreams,2015,212619,4,0.549,0.835,2,-2.632,1,0.0656,0.0692,0,0.212,0.423,126.08,46
Wish It Was You,Audien,Wish It Was You,2019,192000,4,0.644,0.616,1,-3.928,0,0.0391,0.0927,0,0.105,0.467,124.957,53
